,index,股票代號,股票名稱,融資前日餘額,融資今日餘額,融券前日餘額,融券今日餘額,融資買進,融資賣出,融資現金償還,融資限額,融券買進,融券賣出,融券現券償還,融券限額,資券互抵,註記,filter
2022-12-08,945.0,6409,旭隼,11,11,,,,,,,,,,,,,False
2022-12-15,,6409,旭隼,12,10,,,,2.0,,21940.0,,,,21940.0,, ,False
2022-12-18,,6409,旭隼,10,16,,,6.0,,,21940.0,,,,21940.0,, ,False
2022-12-19,,6409,旭隼,16,17,,,1.0,,,21940.0,,,,21940.0,, ,False
2022-12-20,,6409,旭隼,17,15,,,,2.0,,21940.0,,,,21940.0,, ,False
2022-12-21,,6409,旭隼,15,14,,,,1.0,,21940.0,,,,21940.0,, ,False
2022-12-28,,6409,旭隼,18,17,,,1.0,2.0,,21940.0,,,,21940.0,, ,False
2023-01-04,,6409,旭隼,21,22,,,5.0,4.0,,21940.0,,,,21940.0,, ,
2023-01-05,,6409,旭隼,22,17,,,1.0,6.0,,21940.0,,,,21940.0,, ,
2023-01-12,,6409,旭隼,23,23,,,4.0,4.0,,21940.0,,,,21940.0,, ,
2023-02-01,,6409,旭隼,29,32,,,8.0,5.0,,21940.0,,,,21940.0,, ,
2023-02-02,,6409,旭隼,29,32,,,8.0,5.0,,21940.0,,,,21940.0,, ,
2023-02-03,,6409,旭隼,21,18,,,1.0,4.0,,21940.0,,,,21940.0,, ,
2023-02-04,,6409,旭隼,21,18,,,1.0,4.0,,21940.0,,,,21940.0,, ,
2023-02-06,,6409,旭隼,18,20,,,4.0,2.0,,21940.0,,,,21940.0,, ,
2023-02-07,,6409,旭隼,20,20,,,1.0,1.0,,21940.0,,,,21940.0,, ,
2023-02-08,,6409,旭隼,20,21,,,3.0,2.0,,21940.0,,,,21940.0,, ,
2023-02-09,,6409,旭隼,21,17,,,,4.0,,21940.0,,,,21940.0,, ,
2023-02-10,,6409,旭隼,17,16,,,,1.0,,21940.0,,,,21940.0,, ,
2023-02-11,,6409,旭隼,17,16,,,,1.0,,21940.0,,,,21940.0,, ,
2023-02-13,,6409,旭隼,16,17,,,1.0,,,21940.0,,,,21940.0,, ,
2023-02-14,,6409,旭隼,17,17,,,,,,21940.0,,,,21940.0,, ,
2023-02-15,,6409,旭隼,17,20,,,3.0,,,21940.0,,,,21940.0,, ,
2023-02-16,,6409,旭隼,20,23,,,4.0,1.0,,21940.0,,,,21940.0,, ,
2023-02-17,,6409,旭隼,23,24,,,1.0,,,21940.0,,,,21940.0,, ,
2023-02-18,,6409,旭隼,23,24,,,1.0,,,21940.0,,,,21940.0,, ,
2023-02-20,,6409,旭隼,24,26,,,3.0,1.0,,21940.0,,,,21940.0,, ,
2023-02-21,,6409,旭隼,26,27,,,7.0,6.0,,21940.0,,,,21940.0,, ,
2023-02-22,,6409,旭隼,27,23,,,1.0,5.0,,21940.0,,,,21940.0,, ,
2023-02-23,,6409,旭隼,23,27,,,9.0,5.0,,21940.0,,,,21940.0,, ,
2023-02-24,,6409,旭隼,27,29,,,10.0,8.0,,21940.0,,,,21940.0,, ,
2023-02-25,,6409,旭隼,27,29,,,10.0,8.0,,21940.0,,,,21940.0,, ,
2023-02-27,,6409,旭隼,27,29,,,10.0,8.0,,21940.0,,,,21940.0,, ,
2023-02-28,,6409,旭隼,27,29,,,10.0,8.0,,21940.0,,,,21940.0,, ,
2023-03-01,,6409,旭隼,29,16,,,3.0,16.0,,21940.0,,,,21940.0,, ,
2023-03-02,,6409,旭隼,16,22,,,7.0,1.0,,21940.0,,,,21940.0,, ,
2023-03-03,,6409,旭隼,22,21,,,4.0,5.0,,21940.0,,,,21940.0,, ,
2023-03-04,,6409,旭隼,22,21,,,4.0,5.0,,21940.0,,,,21940.0,, ,
2023-03-06,,6409,旭隼,21,26,,,6.0,1.0,,21940.0,,,,21940.0,, ,
2023-03-07,,6409,旭隼,26,25,,,1.0,2.0,,21940.0,,,,21940.0,, ,
2023-03-08,,6409,旭隼,25,21,,,,4.0,,21940.0,,,,21940.0,, ,
2023-03-09,,6409,旭隼,21,25,,,4.0,,,21940.0,,,,21940.0,, ,
2023-03-10,,6409,旭隼,25,26,,,4.0,3.0,,21940.0,,,,21940.0,, ,
2023-03-11,,6409,旭隼,25,26,,,4.0,3.0,,21940.0,,,,21940.0,, ,
2023-03-13,,6409,旭隼,26,26,,,9.0,9.0,,21940.0,,,,21940.0,, ,
2023-03-14,,6409,旭隼,26,34,,,9.0,1.0,,21940.0,,,,21940.0,, ,
2023-03-15,,6409,旭隼,34,24,,,1.0,11.0,,21940.0,,,,21940.0,, ,
2023-03-16,,6409,旭隼,24,35,,,11.0,,,21940.0,,,,21940.0,, ,
2023-03-17,,6409,旭隼,35,48,,,17.0,4.0,,21940.0,,,,21940.0,, ,
2023-03-18,,6409,旭隼,35,48,,,17.0,4.0,,21940.0,,,,21940.0,, ,
